pk,cod,des,pr,lastupdate,DataFineVal
5937,403018132,RUINO,PV,2021-09-01 12:59:22,31/12/2018 00:00:00
5947,401002123,SABBIA,VC,2021-09-01 12:59:22,31/12/2017 00:00:00
5965,402007064,SAINT-RHEMY,AO,2021-09-01 12:59:22,29/07/1991 00:00:00
5990,405028074,SALETTO,PD,2021-09-01 12:59:23,16/02/2018 00:00:00
6000,404021076,SALORNO,BZ,2021-09-01 12:59:23,10/10/2019 00:00:00
6075,411041051,SAN COSTANZO,PS,2021-09-01 12:59:23,31/12/1998 00:00:00
6092,403013205,SAN FEDELE INTELVI,CO,2021-09-01 12:59:23,31/12/2017 00:00:00
6133,403020057,SAN GIORGIO DI MANTOVA,MN,2021-09-01 12:59:24,31/12/2018 00:00:00
6193,411041054,SAN LORENZO IN CAMPO,PS,2021-09-01 12:59:24,31/12/1998 00:00:00
6243,408040041,SAN MAURO PASCOLI,FO,2021-09-01 12:59:25,15/04/1992 00:00:00
6252,405024093,SAN NAZARIO,VI,2021-09-01 12:59:25,29/01/2019 00:00:00
6421,411041057,SANT'ANGELO IN VADO,PS,2021-09-01 12:59:26,31/12/1998 00:00:00
6453,411041058,SANT'IPPOLITO,PS,2021-09-01 12:59:26,31/12/1998 00:00:00
6487,405028081,SANTA MARGHERITA D'ADIGE,PD,2021-09-01 12:59:27,16/02/2018 00:00:00
6513,408040043,SANTA SOFIA,FO,2021-09-01 12:59:27,15/04/1992 00:00:00
6549,405025052,SAPPADA,BL,2021-09-01 12:59:27,31/12/2017 00:00:00
6570,408040044,SARSINA,FO,2021-09-01 12:59:27,15/04/1992 00:00:00
6582,411041059,SASSOCORVARO,PS,2021-09-01 12:59:27,31/12/1998 00:00:00
6583,411041060,SASSOFELTRIO,PS,2021-09-01 12:59:27,31/12/1998 00:00:00
6597,408040045,SAVIGNANO SUL RUBICONE,FO,2021-09-01 12:59:27,15/04/1992 00:00:00
6721,403020061,SERMIDE,MN,2021-09-01 12:59:28,28/02/2017 00:00:00
6731,411041061,SERRA SANT'ABBONDIO,PS,2021-09-01 12:59:28,31/12/1998 00:00:00
6841,408040046,SOGLIANO AL RUBICONE,FO,2021-09-01 12:59:29,15/04/1992 00:00:00
6851,403013215,SOLBIATE,CO,2021-09-01 12:59:29,31/12/2018 00:00:00
6883,401096062,SOPRANA,BI,2021-09-01 12:59:30,31/12/2018 00:00:00
6885,404022176,SORAGA,TN,2021-09-01 12:59:30,14/03/2017 00:00:00
6890,408034037,SORBOLO,PR,2021-09-01 12:59:30,31/12/2018 00:00:00
6921,405024103,SOVIZZO,VI,2021-09-01 12:59:30,21/01/2024 00:00:00
7069,409048045,TAVARNELLE VAL DI PESA,FI,2021-09-01 12:59:31,31/12/2018 00:00:00
7078,411041064,TAVOLETO,PS,2021-09-01 12:59:31,31/12/1998 00:00:00
7079,411041065,TAVULLIA,PS,2021-09-01 12:59:31,31/12/1998 00:00:00
7125,411041070,TERRE ROVERESCHE,PS,2021-09-01 12:59:32,09/06/2025 00:00:00
7179,401005110,TONENGO,AT,2021-09-01 12:59:32,31/12/2022 00:00:00
